,artist.name,artist.hotness,Songs,Year,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,Time
4074,Dixie Chicks,0.576902281,Lullaby,2006,0.529,1.66211,0.827,0.57548,351.84281,0.117,0.827409365,5,0.458,37.15735675,"Austin, TX",-63.93335787,-12.749,1,0.409,308335,Taking The Long Way,ARE3LP51187B9ACD29,0.865831829,342.152,0.851,0.30516,109.74,bluegrass,1,4,0,00s
4075,Lizzy Borden,0.419967936,Generation Aliens,1986,0.019,2.9119,0,2.51364,268.40771,8.208,0.609819761,2,0.441,34.05349,"Los Angeles, CA",-118.24532,-2.339,1,0.429,559845,Menace To Society,ARGBE8R1187FB4D4FA,0.427446572,260.151,0.052,2.51364,145.882,heavy metal,1,4,0.257,80s
4076,Tha Liks featuring Defari,0,My Dear,2001,0.027,0.17509,0.889,0.17509,233.92608,0.095,0.536655656,9,0.339,37.15735675,Not available,-63.93335787,-5.033,0,0.337,287223,X.O. Experience,ARLMHFV1187B9A3833,,230.15,0.598,0.17509,184.046,los angeles,0.864452172,4,0.044,00s
4077,Cliff Bruner,0.193843484,Milk Cow Blues,2004,0.039,0.09394,0.3,0.09394,188.31628,0.357,0.320974666,7,0.685,29.76045,"Houston, TX",-95.36978,-13.841,1,0.505,779906,Blues Legends 1930 - 1939,ARZRHS51187FB47767,,185.179,0.3,0.09394,161.246,western swing,1,4,0.232,00s
4078,Funeral For A Friend,0.590449277,Building,2008,0.431,0.98485,0.969,0.12281,160.23465,0.107,0.851073009,3,0.562,37.15735675,Wales,-63.93335787,-15.609,1,0.67,322341,Memory And Humanity,ARWR6RK1187FB3AB52,0.609608465,147.261,0.488,0.12281,139.401,post-hardcore,0.999214993,4,0.604,00s
4080,Brigada Victor Jara,0.358148519,Parto em terras distantes (2.Aa versAPSo),1998,0.133,2.16515,0.4,0.15471,223.76444,0,0.435915457,7,0.583,37.15735675,Not available,-63.93335787,-9.674,1,0.556,337773,Novas Vos Trago,ARENKIO1187B9A6EAB,,216.781,0.524,0.15471,119.901,free improvisation,0.939190342,5,0.669,90s
4081,The Crystal Method,0.555741673,Realizer,2004,0.007,1.13108,0.551,0.20786,228.85832,5.492,0.740796632,10,0.058,37.15735675,"Los Angeles, CA",-63.93335787,-6.642,0,0.454,710761,Legion Of Boom,ARMKBL21187FB38230,0.634538104,216.99,0.176,0.20786,130.006,big beat,0.948653411,4,0,00s
4085,Bongzilla,0.446071584,666lb. Bongsession,2002,0.487,0.30266,0.697,0.30266,475.11465,0.171,0.574400789,4,0.9,43.07295,"Madison, Wisconsin",-89.38669,-6.499,1,0.486,238284,Gateway,ARVJSYD1187B993509,,470.912,0.192,0.30266,89.997,stoner metal,1,3,0.895,00s
4087,Madonna,0.665576619,Vogue [Live],2006,0.022,1.01353,0.422,1.01353,330.94485,0,0.915823253,6,0.291,37.15735675,"Bay City, MI",-63.93335787,-5.407,0,0.349,47668,I'm Going To Tell You A Secret,AR8V1X71187B9B919B,0.528782481,330.945,0,0.62605,116.169,dance pop,1,4,0.493,00s
4091,Liquid Soul,0.361917926,Dysfunction,2000,0.085,0.49122,0.592,0.14312,285.28281,0.282,0.629008226,10,0.467,37.15735675,Not available,-63.93335787,-9.154,0,0.485,620941,Here's The Deal,ARBG1WJ1187B9A1D2D,0.536378023,276.126,0.563,0.14312,183.836,jazz funk,1,4,0,00s
4094,Aaron Watson,0.472495477,Sweet Contradiction,2008,0.709,1.2271,0.489,0.24984,257.35791,0.346,0.658016592,9,0.483,37.15735675,Not available,-63.93335787,-9.249,1,0.56,321603,Angels & Outlaws,AREN1A11187FB527EF,0.246101389,245.923,0.359,0.08683,124.15,honky tonk,1,3,0.498,00s
4096,Dave Eggar,0.375941201,Sorrow's Call,1998,0.641,1.78944,0.261,0.54518,240.09098,0.304,0.450361261,8,0.317,34.05349,California - LA,-118.24532,-27.845,1,0.638,236601,Music For The Spirit Volume 3,AR5N6X41187B988BFF,0.253834736,223.829,0.028,0.22754,97.243,new age,1,4,0.054,90s
4097,Dax Riggs,0.473918437,Night is the Notion,2007,0.069,0.15678,0.802,0.15678,158.51057,0.194,0.627917468,11,0.534,29.59733,"Houma, LA",-90.71913,-6.172,1,0.674,814747,We Sing of Only Blood or Love,ART9GEK1187B98C119,0.551109538,146.727,0.03,0.15678,124.409,blues-rock,0.967635391,4,0,00s
4099,Ben Jelen,0.37790448,Wicked Little Town (Album Version),2004,0.05,1.05088,0.568,0.45783,240.32608,0,0.630247495,7,1,37.15735675,Scotland,-63.93335787,-5.77,1,0.864,36444,Give It All Away,ARW8HIT1187B990F5C,0.574039754,233.628,0.868,0.16038,101.954,chill-out,0.867335124,4,1,00s
4100,Twila Paris,0.401239122,How Beautiful (Cry For The Desert Album Version),1990,0.005,0.70646,0.572,0.70646,290.19383,0.572,0.559901438,7,0.554,37.15735675,Not available,-63.93335787,-12.126,1,0.602,156787,Cry For The Desert,ARSM2YU1187B99D602,,271.186,0.422,0.42304,105.834,ccm,1,4,0.818,90s
4107,Wyclef Jean,0.477889304,Something About Mary,2000,0.167,0.45044,0.933,0.13626,319.97342,0,0.791465542,0,0.773,37.15735675,"Croix-des-Bouquets,  Haiti",-63.93335787,-6.431,1,0.584,289164,The Ecleftic -2 Sides II A Book,ARV4KO21187FB38008,,319.973,0.449,0.13626,189.99,hip hop,1,7,0.857,00s
4109,Maysa,0.409464909,Escuta_ Noel,2003,0.043,0.86374,0.457,0.86374,176.37832,0,0.616436885,5,0.427,37.15735675,Not available,-63.93335787,-10.484,0,0.416,729053,Maysa,ARZDJ3G1187FB59384,0.265861049,173.453,0.441,0.35965,82.72,brazilian pop music,1,5,0.116,00s
4112,Phil Collins,0.578301634,That's What You Said  (LP Version),1996,0.008,0.15878,1,0.15878,260.96281,0.143,0.655921418,8,0.619,37.15735675,"Chiswick, London, England",-63.93335787,-6.68,1,0.51,19068,Dance Into The Light,ARFWLXM1187B9B5EE5,0.518310319,246.544,0.951,0.15878,129.729,soft rock,1,4,0.761,90s
4115,Cabin Crew,0.340750194,Can't Stop (Mind electric Remix),2009,0.177,2.23011,0.204,0.11018,194.97751,0,0.572144338,10,0.484,37.15735675,Not available,-63.93335787,-4.434,0,0.591,410068,The Grand,ARYDD7J1187B9AA8A2,0.576399981,186.671,0,0.11018,85.348,hard house,0.87074069,5,0.86,00s
4119,Rihanna,0.908202619,SOS,2006,0.041,0.63457,0.774,0.19849,244.50567,0.376,0.917863906,6,0.495,13.11199,"St Michael, Barbados ",-59.59895,-3.925,0,0.524,422785,SOS,ARTDQRC1187FB4EFD4,,238.051,0.822,0.19849,139.304,dance pop,1,4,0.421,00s
4120,Fenton Robinson,0.347225061,Somebody Loan Me A Dime,1990,0.153,0.19359,0.751,0.19359,263.73179,0.115,0.438644698,10,0.524,33.7621,"Minter City, MS",-90.30507,-12.346,1,0.472,566599,Born With The Blues Double,AR3B0LP1187FB5C41E,0.642091038,251.437,0.684,0.19359,114.255,texas blues,1,3,0.634,90s
4122,Luiz Bonfa,0.347547581,ManhAPS de Carnaval,1989,0.052,0.66601,0.747,0.66601,147.87873,0.222,0.549282908,9,0.421,-22.97673,"Rio de Janeiro, Brazil",-43.19508,-24.341,0,0.439,559294,Solo in Rio 1959,ARFETPU124549A3F38,,138.577,0,0.33727,104.475,samba,1,4,0.232,80s
4125,April Wine,0.4104772,Caught In The Crossfire,1981,0.641,0.6575,0.641,0.6575,214.43873,0.351,0.656759788,4,0.705,44.64616,"Halifax, Nova Scotia, Canada",-63.57392,-12.551,1,0.53,274438,Nature Of The Beast,ARMXJIZ1187FB4D8A0,0.513189736,210.982,0.43,0.43575,138.572,pop rock,0.957625745,1,0,80s
4126,Alexandre Desplat,0.560380805,High-Speed French Train,2009,0.008,1.2606,1,0.75556,86.22975,0.385,0.609816403,10,0.333,37.15735675,Not available,-63.93335787,-20.551,1,0.268,604232,Fantastic Mr. Fox (Original Soundtrack),ARU52PB1187FB58E46,,81.757,0.933,0.50476,120.08,soundtrack,1,4,0,00s
4127,Novaspace,0.372307464,Summer Of Love,2004,0.003,0.89408,1,0.43823,356.23138,0.415,0.688040857,0,0.009,37.15735675,"Berlin, Germany",-63.93335787,-5.861,1,0.365,125275,DJ Edition,AR7PIQ01187FB49737,0.437036204,348.839,1,0.20974,131.985,trance,1,4,0.377,00s
4128,Esser,0.379226366,Headlock,2008,0.079,0.92973,0.646,0.39736,191.55546,0,0.647945005,10,0.296,37.15735675,Not available,-63.93335787,-4.622,0,0.384,454438,Headlock,ART9K8S1187FB5BA5C,,184.291,0,0.13117,121.988,disco,0.946861598,3,1,00s
4129,Black Debbath,0.392325283,Where To Piss And Shit In Oslo,2009,0.036,0.48989,0.562,0.48989,278.46485,0,0.48040197,5,0.996,59.91228,"Oslo, Norway",10.74998,-5.808,1,0.777,737285,Martin Schanche,ARCJZIJ1187FB5C01F,,275.702,0.582,0.48989,132.642,blues,1,4,0.508,00s
4130,Helen Love,0.347006921,Shifty Disco Girl,2000,0.032,1.64005,0.809,0.38463,185.36444,0,0.581884359,8,0.982,51.48126,"Cardiff, Wales",-3.18067,-7.531,1,0.95,601526,Radio Hits 3,ARRTBLX11F50C4EBA1,0.407901717,179.531,0.515,0.0712,95.575,power pop,0.926846872,4,0.731,00s
4133,Suzi Quatro,0.406642649,Kids Of Tragedy,2004,0.868,0.14065,1,0.14065,207.882,0.485,0.627361447,4,1,42.33168,"Detroit, MI",-83.04792,-11.38,1,0.782,111874,A's_ B's And Rarities,ARWRMUZ12B9CECC40E,0.375984302,198.362,0,0.14065,124.519,glam rock,0.942375899,4,1,00s
4134,Phil Collins,0.578301634,I Cannot Believe It's True,1982,0.188,0.66071,0.928,0.05694,316.39465,0.193,0.655921418,5,0,37.15735675,"Chiswick, London, England",-63.93335787,-11.763,0,0.19,40837,Hello_ I Must Be Going,ARFWLXM1187B9B5EE5,0.551921515,299.259,0,0.05694,121.044,soft rock,1,4,1,80s
4137,Eddie Cantor,0.331090126,When My Ship Comes In,1994,0.035,12.03701,0.41,3.84573,196.88444,5.329,0.416141023,5,0.495,40.71455,"New York, NY",-74.00712,-14.618,1,0.579,284567,The Columbia Years:  1922-1940,ARRL2QH1187B9AC814,,192.546,0.172,3.44925,77.963,easy listening,1,5,0.581,90s
4138,K.T. Oslin,0.364968608,Come Next Monday,1993,0.118,0.9431,1,0.20608,229.45914,0.189,0.555495603,4,0.923,33.13178,"Crossett, AR",-91.96148,-8.705,0,0.574,295306,RCA Country Legends,ARUHX3U1187FB57A44,,213.49,0.979,0.02846,163.969,country rock,1,4,0.566,90s
4141,Falco,0.485781602,Brillantin' Brutal',1984,0.019,1.48697,0.889,0.5083,228.12689,0,0.674464705,5,0.45,48.20254,"Vienna, Austria",16.3688,-13.844,1,0.333,299837,Junge Roemer,ARXQBR11187B98A2CC,,225.512,1,0.26198,123.028,dance pop,0.998968746,4,0.926,80s
4144,Buddy Miles,0.418429598,Midnight Rider,1997,0.111,0.5648,0.705,0.5648,218.3571,7.947,0.596349854,7,0.394,41.26069,"Omaha, NE",-95.93995,-9.978,1,0.781,216163,Best Of Buddy Miles,ARNDL191187FB51583,0.270775999,202.832,0.03,0.25213,94.57,blues-rock,1,5,0.362,90s
4147,Chalk Farm,0.247292528,Lillie Anne,1996,0.072,0.73407,0.815,0.42035,294.08608,0.214,0.412448406,2,0.035,37.15735675,Not available,-63.93335787,-7.795,1,0.236,483488,Notwithstanding,ARQ7S2H1187B9AA49B,,282.064,0.624,0.2631,191.033,alternative pop rock,0.689958567,4,1,90s
4148,This Or The Apocalypse,0.48981262,Two Wars,2008,0.245,1.0925,0.533,0.28112,293.66812,0,0.432640532,9,0.725,37.15735675,Not available,-63.93335787,-4.256,0,0.621,331432,Monuments,ARE8UDO1187FB57448,0.543788273,280.091,0.533,0.28112,163.935,death core,0.940802395,3,0.399,00s
4149,Rocket From The Tombs,0.355646469,Frustration,2002,0.457,0.47698,0.457,0.47698,138.44853,0,0.470615401,9,0,41.50471,"Cleveland, OH",-81.69074,-7.359,0,0.007,715572,Rocket Redux,AR9B5JX1187FB55D84,,128.772,0.648,0.47698,164.23,garage rock,0.941092128,1,0,00s
4151,Djelimady Tounkara,0.266645906,Sigui,2001,1,0.11843,1,0.11843,303.90812,0.321,0.315307851,0,0.823,37.15735675,Not available,-63.93335787,-11.576,1,0.707,766158,Sigui,AR03VDD1187FB3DD32,0,283.684,0.849,0.11843,125.693,latin jazz,0.882019592,1,0,00s
4154,Kraftwerk,0.52041211,Autobahn (Live),2008,0.066,0.53281,0.632,0.18584,531.61751,0,0.74151813,2,0.901,37.15735675,"Di?1/2orf, Germany",-63.93335787,-9.827,1,0.704,13862,Minimum - Maximum,ARUY6971187FB3AB45,,531.617,0.039,0.18584,166.015,electronic,1,4,0.85,00s
4158,Eddie Calvert,0.310544672,O Mein Papa,2001,0.042,0.09199,0.403,0.09199,163.52608,0,0.421187326,5,0,37.15735675,Not available,-63.93335787,-11.977,1,0.154,376903,Number 1's of the 50's,ARFTMGO1187B9A777A,0.215080319,163.526,0.359,0.09199,107.302,cool jazz,0.963882776,4,0.703,00s
4159,The Frequency,0.335041777,Stop It,2004,0.557,1.00816,1,0.50047,195.21261,0,0.568427347,7,0.258,37.15735675,Not available,-63.93335787,-9.334,1,0.509,489422,THE FREQUENCY,ARS067U1187B9B3DB3,,190.131,0.774,0.11938,118.008,chill-out,1,4,1,00s
4161,The Clash,0.60118606,Life Is Wild,1985,0.075,1.0686,0.723,0.29238,159.65995,2.572,0.775797363,2,0.433,51.52328,"London, England",-0.21346,-5.612,1,0.499,289142,Cut The Crap,AR8HD0Q1187FB4F2DB,,155.429,0.621,0.09822,150.871,new wave,0.951904981,4,1,80s
4163,No Address,0.344984811,Pretty Girl (Amended Version),2005,0.403,1.69464,0.789,0.33116,286.4322,0.293,0.507430629,5,0.923,30.43977,"Tallahassee, FL",-84.28065,-8.1,1,0.576,217680,Time Doesn't Notice,ARVRITY1187B98B0DA,0.511424326,264.423,0.445,0.33116,87.106,post-grunge,1,4,0.837,00s
4168,Bottom Of The Hudson,0.358423586,One of Us,2005,0.958,0.25758,0.958,0.25758,193.35791,0.287,0.498758408,3,0.642,38.03213,"Charlottesville, VA",-78.47753,-7.474,1,0.49,710248,Holiday Machine,ARGWNT41187FB463F1,0.215080319,185.417,0.948,0.25758,106.14,free music,0.837944523,1,0,00s
4170,The Roches,0.372251208,It's Bad For Me (Album Version),1980,0,0,1,0.96181,165.98159,0.16,0.573612399,0,0.417,37.15735675,New York City,-63.93335787,-20.394,1,0.435,762404,Nurds,ARYXGMM1187B9AC285,0,160.02,0.087,0.51432,34.335,singer-songwriter,1,4,0,80s
4171,Britney Spears,0.60725728,Break The Ice,2007,0.002,0.67646,0.756,0.21303,530.12853,0.189,0.947327507,0,0.652,34.05349,"Kentwood, LA; Los Angeles, CA",-118.24532,-5.432,1,0.509,482410,Break The Ice: Dance Remixes,ARX6TAQ11C8A415850,,517.613,1,0.21303,130.012,dance pop,1,4,0.17,00s
4172,Rhian Sheehan,0.414780659,Untitled,2004,0.661,0.59554,0.661,0.59554,38.922,0,0.558007752,0,0.572,-41.28054,Wellington,174.76714,-18.406,1,0.446,535298,Music for Nature Documentaries,ARUVN7Z1187B99056E,0,38.922,0.505,0.24207,83.412,trip hop,0.906784868,1,0.74,00s
4174,Rishi Rich,0.33137317,Sorry Feat. Rafaqat Ali Khan,2006,0.041,1.56751,0.588,0.7245,235.25832,0.194,0.492669503,6,0.07,37.15735675,Not available,-63.93335787,-7.676,0,0,38957,The Project,AR4UTYN1187B9B8912,,221.675,0.391,0.0528,71.14,bhangra,0.885357883,3,0.553,00s
4175,JennyAnyKind,0.296268954,I'm On The Run,2003,0.024,3.08546,0.721,2.26191,326.79138,3.175,0.360031167,10,0.552,35.21962,North Carolina,-80.01955,-10.854,0,0.3,75231,Peas And Collards,AR9AM2N1187B9AD2F1,0,307.908,0.218,2.26191,150.243,alternative rock,0.956080751,4,0.175,00s
4177,This Is Hell,0.492132221,RECKLESS,2008,0.011,0.64509,0.476,0.26548,119.7971,0.228,0.677550149,8,0.184,37.15735675,"Long Island, NY",-63.93335787,-5.261,1,0.342,716004,Misfortunes,AR19LCE1187B994B42,0.733956331,112.205,0.195,0.07318,150.006,post-hardcore,0.999823218,4,0,00s
4178,Test Icicles,0.373464228,What's Your Damage?,2005,0.654,0.41764,0.963,0.07763,216.45016,0.253,0.682045692,7,0.066,37.15735675,Not available,-63.93335787,-2.756,1,0.268,533823,What's Your Damage?,AR4R1FL1187FB55C3B,,208.515,0.235,0.07763,174.942,grime,0.86898109,4,0.196,00s
4180,Michael Gettel,0.333770845,Through Bucky's Eyes,1992,0.53,1.64732,0.722,0.29532,232.77669,0,0.510660236,3,0.292,37.15735675,Not available,-63.93335787,-22.42,1,0.48,149770,Places In Time,AREE9XF1187FB4060A,,217.977,0.662,0.29532,103.3,chamber jazz,0.960316306,4,0.525,90s
4181,Non Phixion,0.420001071,Sleepwalkers,1999,0.011,0.85071,0.587,0.22916,222.56281,0.497,0.648069465,10,0.1,37.15735675,Not available,-63.93335787,-5.724,0,0.566,191415,Everything Is Nice: The Matador Records 10th Anniversary Anthology,AR5TZFO1187B98E58E,0.522131585,202.461,1,0.22916,96.093,hardcore hip hop,0.922152407,4,1,90s
4190,Tinariwen,0.472451772,Tenhert,2009,0.482,1.25153,0.162,0.61048,328.85506,0,0.64783484,8,0.02,17.57975,"Mali, Africa",-3.99883,-7.155,1,0.312,484128,Imidiwan: Companions,AR03VDD1187FB3DD32,,320.726,0,0.18311,93.325,blues-rock,0.960857676,3,0.736,00s
4192,The Killers,0.819588282,When You Were Young,2006,0.008,0.91792,0.522,0.45586,269.76608,0,0.918451789,11,0.106,37.15735675,Not available,-63.93335787,-7.477,1,0.333,311155,When You Were Young,ARVN9FZ1187FB393F1,,250.746,0.211,0.2231,130.065,rock,1,4,0,00s
4193,Usher,0.851233891,Moving Mountains,2008,0.061,0.49788,0.783,0.02517,309.83791,0,0.856448924,11,0.294,37.15735675,"Atlanta, GA",-63.93335787,-5.692,1,0.233,428531,Moving Mountains,ARAWOLW1187FB3AB70,,301.697,1,0.02517,126.955,hip hop,1,5,1,00s
4195,The Wes Montgomery Trio,0.315776703,Satin Doll,1987,0.055,0.21968,0.843,0.21968,246.80444,0.163,0.433403103,0,0.652,37.15735675,Not available,-63.93335787,-19.802,1,0.561,453925,The Wes Montgomery Trio,ARWXCBP12454A3DC9E,0,240.663,0.532,0.21968,137.11,smooth jazz,0.963427478,4,0.117,80s
4200,Blind Willie Johnson,0.401144742,Church_ I'm Fully Saved Today,1991,0.751,0.46157,0.658,0.46157,187.14077,0.382,0.607326982,10,0.626,31.30627,"Marlin, TX",-96.89774,-15.89,1,0.613,597081,Sweeter As the Years Go By,ARE36MM1187B991E50,,181.383,0.591,0.14906,97.761,texas blues,0.972352995,4,1,90s
4202,Coldplay,0.916053228,A Rush Of Blood To The Head (Live In Sydney),2003,0.088,2.29163,0.332,1.37601,410.8273,0,0.865021512,5,0.463,37.15735675,Not available,-63.93335787,-8.229,1,0.553,316,Live 2003,ARSPUJF1187B9A14B8,0.564934173,408.079,0,1.37601,138.038,piano rock,0.91162502,4,0.59,00s
4204,OutKast featuring George Clinton,0.574497026,Synthesizer,1998,0.571,1.4358,0.753,0.17861,311.30077,0,0.796420044,7,0.433,33.74831,"Atlanta, GA",-84.39111,-6.791,1,0.768,294877,Aquemini,ARV4KO21187FB38008,0.627494854,303.531,0.559,0.17861,94.904,dirty south rap,0.946580686,4,0.575,90s
4206,Black Flag,0.547506775,Room 13,1981,0.066,0.55987,0.278,0.27456,79.51628,0,0.731208047,9,0.631,34.05349,"Los Angeles, CA",-118.24532,-4.606,1,0.505,729456,Live at The On Broadway 1982,AR7Y6JX1187FB4D9B3,,79.516,0,0.1319,190.6,hardcore punk,1,4,0.581,80s
4211,Grant Geissman,0.317248425,Silent Movies (Album Version),1993,0.267,1.8449,0.656,0.75217,349.23057,0.439,0.422971308,0,0.632,30.24216,"PEARLINGTON, Mississippi",-89.60586,-13.752,1,0.524,460993,Rustic Technology,AR2LRXK1187FB593DD,,332.823,0.634,0.46331,100.329,smooth jazz,1,3,0.848,90s
4217,Beherit,0.427479242,Lord of Shadows and Golden Wood,1993,0.208,0.81175,0.761,0.37885,202.91873,3.454,0.596184927,11,0.512,37.15735675,Helsinki,-63.93335787,-18.65,1,0.472,480803,Drawing Down the Moon,ART5OVS1187B9B0851,0.541551998,183.13,0.126,0.1624,130.955,illbient,0.921677475,4,0.708,90s
4218,Keb' Mo',0.472281211,Dangerous Mood,1996,0.106,1.2107,0.774,0.61666,297.66485,0,0.632130913,0,0.686,34.05349,"Los Angeles, CA",-118.24532,-9.032,1,0.458,290940,Martin Scorsese Presents The Blues: Keb' Mo',ARA7Y2Y1187B9B8588,0.669413098,289.675,1,0.61666,106.802,blues,1,3,1,90s
4222,K'Naan,0.536862274,Is It A Myth?,2007,0.348,0.385,0.494,0.385,213.13261,0,0.69297934,3,0,37.15735675,"Mogadishu, Somalia",-63.93335787,-14.254,1,0,110009,The Dusty Foot On The Road,ARCF06I1187B995398,0.48306456,208.922,0.483,0.07646,100.567,hip hop,1,3,0.082,00s
4223,Luiz Bonfa,0.347547581,Samba De Duas Notas,2005,0.659,0.13268,0.659,0.13268,192.78322,0.241,0.549282908,4,0.328,-22.97673,"Rio de Janeiro, Brazil",-43.19508,-14.05,0,0.374,374550,Le Roi de la Bossa Nova,ARFETPU124549A3F38,,189.486,0.439,0.13268,124.842,samba,1,1,0,00s
4227,Helmet,0.490079584,Everybody Loves You,2004,0.302,0.10458,1,0.10458,206.94159,0.073,0.776598968,0,0.005,40.71455,New York,-74.00712,-3.568,1,0.203,1537,Size Matters,ARKNGPL1187B9B90F0,0.544514002,203.395,1,0.10458,112.77,rapcore,0.947907239,4,0.806,00s
4230,Miranda Lee Richards,0.401209642,The Long Goodbye,2001,0.134,0.93233,0.51,0.4149,243.722,2.038,0.55669334,0,0.609,37.15735675,Los Angeles CA,-63.93335787,-8.141,1,0.659,27316,The Herethereafter,ARJC4N31187B9B2A21,0.304169503,229.663,0.165,0.15166,116.123,chill-out,0.943671698,4,0.968,00s
4231,Miossec,0.357663448,Que Devient Ton Poing Quand Tu Tends Les Doigts,1995,0.024,1.58583,0.766,0.41705,159.60771,0.392,0.551311117,9,0.802,48.39023,"Brest, France",-4.48622,-8.503,1,0.654,123341,"Brest of"" (Tout ASSa pour ASSa)",ARV0VRA1187FB5C825,,146.326,0.81,0.41705,103.005,chanson,0.978815243,4,0.648,90s
4232,The Cure,0.578993549,Lost,2004,0.96,0.2548,0.96,0.2548,232.48934,0.206,0.81195304,2,0.759,51.11655,"Crawley, England",-0.18703,-11.199,1,0.704,52356,AOL Sessions,AR9NGD41187FB3AE2E,,223.893,1,0.2548,85.006,new wave,0.952578423,1,0,00s
4235,K's Choice,0.451219237,A Sound That Only You Can Hear,1995,0.101,2.0131,0,0.65762,252.83873,0.444,0.640757317,2,0.832,37.15735675,Not available,-63.93335787,-6.575,1,0.675,281753,Paradise In Me,ARUW9H71187FB4DA75,0.667506139,247.188,0.386,0.13877,87.495,post-grunge,1,4,0.785,90s
4237,Junior Jack,0.39364231,Thrill Me (Atfc's Jackhammer Re-Rub),2002,0,0,0,0,482.55955,0.2,0.682355125,7,0.722,37.15735675,Not available,-63.93335787,-11.985,1,0.63,123659,Thrill Me,ARMQHKX1187FB4C16B,,444.685,0,0,0,progressive house,0.922261838,3,1,00s
4239,Paul Cantelon,0.350476631,The Other Boleyn Girl - Opening Titles,2008,0.172,1.1242,0.644,0.22662,146.442,2.026,0.470828036,0,0.875,37.15735675,Not available,-63.93335787,-20.178,0,0.644,209378,The Other Boleyn Girl,ARKO7AO1187FB5664B,,135.494,0.132,0.22662,130.183,folk rock,0.977659709,3,1,00s
4240,Blue Rodeo,0.447935481,Up On That Cloud,2005,0.357,0.4967,0.663,0.18433,213.34159,0,0.636423645,2,0.601,43.64856,"Toronto, Ontario, Canada",-79.38533,-5.972,1,0.713,129671,Are You Ready,ARGCEMX1187B9921A4,0.473346541,202.739,0.571,0.02853,189.068,country rock,1,4,0.618,00s
4244,The Police,0.615454462,Man In A Suitcase,1980,0.157,0.85624,0.861,0.49362,137.45587,0.293,0.790367909,10,0.624,37.15735675,"London, England",-63.93335787,-11.636,0,0.528,16027,Message In A Box,AR4MVC71187B9AEAB3,,131.454,0.162,0.30619,159.106,new wave,1,4,0.574,80s
4245,George Harrison,0.541602503,Baltimore Oriole (2004 Digital Remaster),1981,0.384,1.7642,1,0.08781,238.602,0.229,0.739047424,7,0.643,37.15735675,"Liverpool, England",-63.93335787,-6.692,0,0.607,180861,Somewhere In England,ARGMPRW1187B9AC4C4,,230.394,0.654,0.08781,71.756,classic rock,0.950610369,4,0.117,80s
4250,Adrienne Pierce,0.409192654,Laundry & Dishes,2008,0.361,0.77232,0.962,0.37376,269.63546,0.121,0.582431619,6,0.314,56.95468,Canada,-98.30897,-8.425,0,0.599,602934,Faultline,ARWCV901187B989F6E,0.427446572,264.104,0.68,0.17694,151.945,folk-pop,0.988532764,3,0.894,00s
4252,OutKast,0.574497026,"Return Of The ""G",1998,0.383,0.92242,0,0.29073,289.25342,0,0.796420044,2,0.808,33.74831,"Atlanta, GA",-84.39111,-6.407,1,0.58,294877,Aquemini,ARV4KO21187FB38008,,276.457,0,0.13281,156.688,dirty south rap,0.946580686,4,0.801,90s
4255,MIMS,0.524994964,Life Of A Star,2009,0.096,1.14744,0.645,0.68413,230.53016,0,0.796320378,4,0.557,40.8448,"New York, NY [Washington Heights]",-73.93585,-4.213,1,0.434,414214,Guilt,ARZXTEY1187B9997A7,0.407233015,228.026,0.545,0.45601,127.779,pop rap,0.956605368,5,1,00s
4261,TEN MADISON,0.348295197,Leaving Melbourne,2006,0.015,3.95782,0,2.61159,283.76771,7.488,0.448013836,4,0.178,37.15735675,Not available,-63.93335787,-7.827,0,0.366,121334,Grounded,AR5LHM51187FB46AB8,0.407233015,278.245,0.118,2.31198,133.326,downtempo,1,5,0.974,00s
4264,Mobb Deep,0.500119335,Where Ya Heart At,1999,0.011,0.72223,0.687,0.09598,264.64608,0.078,0.772272161,5,0.641,37.15735675,"Queensbridge, NY",-63.93335787,-7.101,1,0.551,284650,Mobb Muzik (Clean Version),ARVTAI41187B9B8B67,0.609399102,248.842,1,0.09598,93.976,gangster rap,0.947694853,4,1,90s
4266,Phil Vassar,0.504855154,This Is My Life,2008,0.043,2.25599,0.286,0.96325,217.28608,0.571,0.704994472,11,0.383,37.15735675,"Lynchburg, VA",-63.93335787,-4.35,0,0.438,271507,Prayer Of A Common Man,ARYYGRP1187B9A4719,0.595754054,203.976,0.236,0.63987,94.007,country rock,0.917000712,4,0.623,00s
4267,Patricia Kaas,0.398196717,Elle Voulait Jouer Cabaret,1988,0.204,2.37004,0.44,1.30159,247.11791,2.287,0.63079537,5,0.859,37.15735675,Not available,-63.93335787,-8.016,1,0.681,501564,Mademoiselle Chante,AR7GOK91187FB455F5,,233.117,0,1.03385,130.272,chanson,1,5,0.99,80s
4268,Kyle Eastwood,0.414631369,Samba de Paris,2009,0.111,0.91261,0.669,0.25954,441.7824,0.179,0.511743665,10,0.549,37.15735675,Not available,-63.93335787,-12.712,1,0.452,495327,Metropolitain,ARY71Q01187B9B6BF6,0.445454526,428.083,0.661,0.25954,115.212,hard bop,1,4,0.102,00s
